Transaction Date,Post Date,Description,Amount,Category,Account
02/23/2024,02/23/2024,THE HOME DEPOT 6556,21.63,spend,chase travel
02/23/2024,02/23/2024,WHATABURGER 844,11.36,spend,chase travel
02/26/2024,02/26/2024,PhotoAiD,19.95,reimburseable,chase travel
02/25/2024,02/25/2024,CHEVRON 0386240,20.72,spend,chase travel
02/25/2024,02/25/2024,TX STATE PKS FIELD,14.00,spend,chase travel
02/25/2024,02/25/2024,TARGET T-1354,4.38,spend,chase travel
02/25/2024,02/25/2024,SHIPLEY DO-NUTS - FC4600,8.21,spend,chase travel
02/24/2024,02/24/2024,PhotoAiD,19.95,reimburseable,chase travel
02/24/2024,02/24/2024,PhotoAiD,19.95,reimburseable,chase travel
02/24/2024,02/24/2024,THE HOME DEPOT 6556,57.68,spend,chase travel
02/24/2024,02/24/2024,CIRCLE K #2741058,7.99,spend,chase travel
02/24/2024,02/24/2024,CIRCLE K #2741058,75.00,gas,chase travel
02/24/2024,02/24/2024,BOERNE GRILL DAILY GRIND,59.12,spend,chase travel
02/24/2024,02/24/2024,BOERNE GRILL DAILY GRIND,3.02,spend,chase travel
02/24/2024,02/24/2024,WAL-MART #1126,84.32,spend,chase travel
02/26/2024,02/26/2024,SOUTHWES,44.80,reimburseable,southwest
02/25/2024,02/25/2024,PAYPAL *DISNEY PLUS,15.11,recurring,chase everyday
02/25/2024,02/25/2024,GOOGLE *Google Storage,10.65,recurring,chase everyday
02/25/2024,02/25/2024,Whole Foods VND 10444,40.00,groceries,amazon
02/25/2024,02/25/2024,Whole Foods VND 10444,51.84,spend,amazon
02/25/2024,02/25/2024,target T-1354,15.00,spend,target
02/27/2024,02/27/2024,heb,217.27,groceries,chase travel
,,,,,
02/28/2024,02/28/2024,PAYPAL *NETFLIX.COM,24.89,recurring,chase everyday
02/27/2024,02/27/2024,GOOGLE *CBS Mobile App,12.98,recurring,chase everyday
02/27/2024,02/27/2024,H-E-B #621,27.04,groceries,chase travel
02/28/2024,02/28/2024,carwash,22.00,recurring,chase everyday
02/26/2024,02/26/2024,breakers hotel,990.00,reimburseable,chase travel
03/01/2024,03/01/2024,magik theatre,83.00,spend,southwest
03/01/2024,03/01/2024,sa music masters,90.00,recurring,southwest
02/29/2024,02/29/2024,grubhub,14.23,spend,chase everyday
03/01/2024,03/01/2024,butcherbox,169.00,groceries,chase travel
02/29/2024,02/29/2024,youtube premium,24.89,recurring,chase travel
03/01/2024,03/01/2024,chase 3/8 my plan,201.50,spend,chase travel
03/01/2024,03/01/2024,Samsung 3/24,60.00,spend,amazon
03/01/2024,03/01/2024,amazon mac mini 3/12,15.50,spend,amazon
03/01/2024,03/01/2024,west elm table 4/24,76.00,spend,chase travel
02/29/2024,02/29/2024,kidstrong,99.00,recurring,amex
02/29/2024,02/29/2024,haircuts,64.90,spend,southwest 
03/03/2024,03/03/2024,COSTCO WHSE #0689,265.71,groceries,chase travel
03/03/2024,03/03/2024,TST* MIXTLI GREENHOUSE,54.09,reimburseable,chase travel
03/03/2024,03/03/2024,SHIPLEY DO-NUTS - FC4600,9.12,spend,chase travel
03/02/2024,03/02/2024,CIRCLE K #2741058,17.40,reimburseable,chase travel
03/02/2024,03/02/2024,CIRCLE K #2741058,35.00,reimburseable,chase travel
03/02/2024,03/02/2024,TST* THE COVE,7.25,spend,chase travel
03/02/2024,03/02/2024,TST* THE COVE,70.14,reimburseable,chase travel
03/02/2024,03/02/2024,MORGANS WONDERLAND,220.00,spend,chase travel
03/02/2024,03/02/2024,SQ *THEORY COFFEE,9.98,spend,chase travel
03/02/2024,03/02/2024,BILL MILLER BAR-B-Q - 50,16.02,spend,chase travel
03/01/2024,03/01/2024,TST* DOG & PONY GRILL,14.79,spend,chase travel
03/01/2024,03/01/2024,TST* DOG & PONY GRILL,66.43,spend,chase travel
03/01/2024,03/01/2024,GOOGLE *YouTube TV,79.01,recurring,chase travel
03/01/2024,03/01/2024,H-E-B #621,24.21,groceries,chase travel
03/02/2024,03/02/2024,MORGANS WONDERLAND,5.83,spend,southwest
03/03/2024,03/03/2024,CHATGPT SUBSCRIPTION,21.28,recurring,chase everyday
03/04/2024,03/04/2024,Amazon.com,14.06,spend,amazon
03/05/2024,03/05/2024,GVTC,102.32,recurring,chase everyday
03/05/2024,03/05/2024,TST* CHILIQUIL - THE PEAR,13.18,spend,chase travel
03/05/2024,03/05/2024,TST* WONDERSLICE,21.72,spend,chase travel
03/05/2024,03/05/2024,10153D CAVA SONTERRA V,41.14,spend,chase travel
03/05/2024,03/05/2024,UROLOGY SAN ANTONIO PA PA,338.00,reimburseable,chase travel
03/04/2024,03/04/2024,H-E-B ONLINE #108,254.58,groceries,chase travel
03/04/2024,03/04/2024,SQ *SHAKE SHACK,43.43,spend,chase travel
03/04/2024,03/04/2024,SP WITTE MUSEUMSTORE,7.33,spend,chase travel
03/04/2024,03/04/2024,THE WITTE MUSEUM,12.00,spend,chase travel
03/11/2024,03/11/2024,SQ *JOSE MEJIA,12.00,spend,chase travel
03/11/2024,03/11/2024,CIRCLE K #2741058,23.80,spend,chase travel
03/11/2024,03/11/2024,PAYPAL *CHICK-FIL-A #0,310.68,gifts,chase travel
03/11/2024,03/11/2024,WHOLEFDS VND #10444,13.99,gifts,chase travel
03/11/2024,03/11/2024,WHOLEFDS VND #10444,66.43,gifts,chase travel
03/11/2024,03/11/2024,BIG'S - SLUMBER PASS,86.53,gas,chase travel
03/12/2024,03/12/2024,H-E-B #621,8.34,groceries,chase travel
03/11/2024,03/11/2024,H-E-B ONLINE #108,200.44,groceries,chase travel
03/12/2024,03/12/2024,APPLE.COM/BILL,9.99,recurring,chase everyday
03/11/2024,03/11/2024,chase my plan,377.00,spend,chase travel
03/11/2024,03/11/2024,Samsung 5/24,120.00,spend,chase travel
03/11/2024,03/11/2024,amazon mac mini 5/12,31.00,spend,chase travel
03/14/2024,03/14/2024,LAS PALAPAS BOERNE,16.22,spend,chase travel
03/14/2024,03/14/2024,H-E-B #621,21.26,groceries,chase travel
03/14/2024,03/14/2024,PAYPAL *GRUBHUBFOOD PA,9.95,spend,chase travel
03/15/2024,03/15/2024,usaa,4.00,recurring,amex
03/15/2024,03/15/2024,SSA SAN ANTONIO ZOO,1.94,spend,chase travel
03/15/2024,03/15/2024,SSA SAN ANTONIO ZOO,11.05,spend,chase travel
,,,,,
,,,,,
,,,,,
,,,,,
03/19/2024,03/19/2024,KIDS EMPIRE PARK NORTH,49.58,spend,chase travel
03/18/2024,03/18/2024,"SA CHILDRENS MUSEU  
 Pay over time",150.00,spend,chase travel
03/18/2024,03/18/2024,"H-E-B ONLINE #108  
 Pay over time",246.85,groceries,chase travel
03/17/2024,03/17/2024,"DOUGH PIZZERIA NAPOLETANA  
 Pay over time",144.85,spend,chase travel
03/17/2024,03/17/2024,SHIPLEY DO-NUTS - FC4600,15.85,spend,chase travel
03/17/2024,03/17/2024,SHIPLEY DO-NUTS - FC4600,1.61,spend,chase travel
03/17/2024,03/17/2024,GOOGLE *FI 4595NM,75.69,recurring,chase travel
03/17/2024,03/17/2024,SQ *LICK HEMISFAIR,24.95,spend,chase travel
03/17/2024,03/17/2024,HEMISFAIR PARK AREA RED,20.00,spend,chase travel
03/17/2024,03/17/2024,SQ *MAGIK THEATRE,8.00,spend,chase travel
03/17/2024,03/17/2024,LADDERLIFE INSURANCE,72.28,recurring,chase travel
03/21/2024,03/21/2024,WMAA STORE 1,100.24,spend,chase travel
03/21/2024,03/21/2024,POINTS RAPID REWARDS,594.00,reimburseable,chase travel
03/20/2024,03/20/2024,CURB MOBILITY,21.36,spend,chase travel
03/20/2024,03/20/2024,PAYPAL *UBER,21.96,spend,chase travel
03/20/2024,03/20/2024,PAYPAL *UBER,4.97,spend,chase travel
03/20/2024,03/20/2024,TOAST CAFE,3.81,spend,chase travel
03/20/2024,03/20/2024,PAYPAL *UBER,24.94,spend,chase travel
03/20/2024,03/20/2024,CENTRAL MARKET #191,37.45,groceries,chase travel
03/20/2024,03/20/2024,NY STRAWBERRY DELI,24.90,spend,chase travel
03/19/2024,03/19/2024,GOOGLE *A Medium Corp,5.40,recurring,chase travel
03/19/2024,03/19/2024,UNITED,11.00,spend,chase travel
03/19/2024,03/19/2024,Amazon.com*RH14S5TV2,29.97,spend,amazon
03/21/2024,03/21/2024,SOUTHWES,14.60,reimburseable,southwest
03/21/2024,03/21/2024,PAYPAL *UBER,24.88,spend,chase travel
03/21/2024,03/21/2024,TST* CHAMA MAMA - CHELSEA,75.15,spend,chase travel
03/22/2024,03/22/2024,PAYPAL *UBER,4.97,spend,chase travel
03/22/2024,03/22/2024,PY *Apex Kuentz Elementar,33.00,spend,chase travel
03/23/2024,03/23/2024,UA INFLT 0164286844999,11.00,spend,chase travel
03/23/2024,03/23/2024,TELADOC,45.00,spend,chase travel
03/24/2024,03/24/2024,WALGREENS #5765,13.41,spend,chase travel
03/24/2024,03/24/2024,CENTRAL MARKET #191,54.55,groceries,chase travel
03/24/2024,03/24/2024,CENTRAL MARKET #191,14.50,groceries,chase travel
03/24/2024,03/24/2024,"H-E-B ONLINE #108  
 Pay over time",241.97,groceries,chase travel
04/01/2024,04/01/2024,GOOGLE *YouTube TV,79.01,recurring,chase travel
04/01/2024,04/01/2024,GOOGLE *CLOUD 2VHXWR,0.05,recurring,chase travel
03/31/2024,03/31/2024,CIRCLE K #2741058,9.17,spend,chase travel
03/31/2024,03/31/2024,PY *SMOKEY MOS BBQ BOERN,79.54,spend,chase travel
03/31/2024,03/31/2024,PAYPAL *GRUBHUBFOOD PANDA,9.12,spend,chase travel
03/30/2024,03/30/2024,WAL-MART #3107,29.57,spend,chase travel
03/30/2024,03/30/2024,TST* ROSELLA METHODIST HO,33.01,spend,chase travel
03/30/2024,03/30/2024,H-E-B #621,44.01,groceries,chase travel
03/30/2024,03/30/2024,TST* ROSELLA METHODIST HO,4.44,spend,chase travel
03/30/2024,03/30/2024,TST* ROSELLA METHODIST HO,7.04,spend,chase travel
03/29/2024,03/29/2024,PAYPAL *NETFLIX.COM,24.89,recurring,chase travel
03/29/2024,03/29/2024,GOOGLE *YouTubePremium,24.89,recurring,chase travel
03/29/2024,03/29/2024,WALGREENS #5765,31.44,spend,chase travel
03/29/2024,03/29/2024,TST* ROSELLA METHODIST HO,20.62,spend,chase travel
03/29/2024,03/29/2024,TST* ROSELLA METHODIST HO,6.44,spend,chase travel
03/28/2024,03/28/2024,METHODIST HOSPITAL,4.00,spend,chase travel
03/28/2024,03/28/2024,TST* ROSELLA METHODIST HO,3.51,spend,chase travel
03/28/2024,03/28/2024,TST* ROSELLA METHODIST HO,21.27,spend,chase travel
03/28/2024,03/28/2024,TST* ROSELLA METHODIST HO,7.92,spend,chase travel
03/28/2024,03/28/2024,GOOGLE *CBS Mobile App,12.98,recurring,chase travel
03/27/2024,03/27/2024,METHODIST HOSPITAL,6.00,spend,chase travel
03/27/2024,03/27/2024,PAYPAL *DOMINO'S 6484,25.69,spend,chase travel
03/27/2024,03/27/2024,METHODIST HOSP,7.76,spend,chase travel
03/27/2024,03/27/2024,LS BLUE BIRD GIFTSHOP,0.99,spend,chase travel
03/27/2024,03/27/2024,TST* ROSELLA METHODIST HO,39.47,spend,chase travel
03/27/2024,03/27/2024,LS BLUE BIRD GIFTSHOP,1.50,spend,chase travel
03/26/2024,03/26/2024,STARBUCKS STORE 22813,9.66,spend,chase travel
03/26/2024,03/26/2024,ACORN PEDIATRICS SAN ANT,10.10,spend,chase travel
03/26/2024,03/26/2024,DOLLAR-GENERAL #6187,52.61,spend,chase travel
03/26/2024,03/26/2024,CHIPOTLE ONLINE,37.83,spend,chase travel
03/26/2024,03/26/2024,PAYPAL *DISNEY PLUS,15.11,recurring,chase travel
03/26/2024,03/26/2024,TST* ROSELLA METHODIST HO,21.40,spend,chase travel
03/26/2024,03/26/2024,TST* ROSELLA METHODIST HO,4.87,spend,chase travel
03/26/2024,03/26/2024,GOOGLE *Google Storage,10.65,recurring,chase travel
03/26/2024,03/26/2024,TST* ROSELLA METHODIST HO,8.66,spend,chase travel
03/25/2024,03/25/2024,"SMART BARRE ALAMO HEI  
 Pay over time",164.00,recurring,chase travel
03/25/2024,03/25/2024,LS BLUE BIRD GIFTSHOP,2.00,spend,chase travel
04/01/2024,04/01/2024,WWW.SAMUSICMASTERS.COM,90.00,recurring,southwest
03/28/2024,03/28/2024,RAPID EXPRESS CAR WASH -,22.00,recurring,chase everyday
04/02/2024,04/02/2024,AMZN Mktp US,15.49,spend,amazon
04/02/2024,04/02/2024,SQ *MICHOACAN A PEDIR DE,14.87,spend,chase travel
04/02/2024,04/02/2024,SA BOTANICAL GARD,8.10,spend,chase travel
04/02/2024,04/02/2024,SQ *MICHOACAN A PEDIR DE,4.32,spend,chase travel
04/02/2024,04/02/2024,"H-E-B ONLINE #108  
 Pay over time",189.79,groceries,chase travel
04/02/2024,04/02/2024,THE BEVY PROVISIONS CO,68.42,spend,chase travel
04/02/2024,04/02/2024,TST* FREE ROAM BREWING CO,10.26,spend,chase travel
04/02/2024,04/02/2024,famepay.com,3.19,spend,chase travel
04/05/2024,04/05/2024,GVTC,102.32,recurring,chase travel
04/04/2024,04/04/2024,CIRCLE K #2741058,3.99,spend,chase travel
04/04/2024,04/04/2024,CIRCLE K #2741058,75.00,gas,chase travel
04/04/2024,04/04/2024,SHELL/SHELL,5.58,spend,chase travel
04/04/2024,04/04/2024,GOOGLE *Ad Hoc Labs,5.40,recurring,chase travel
04/03/2024,04/03/2024,CHATGPT SUBSCRIPTION,21.28,recurring,chase everyday
04/06/2024,04/06/2024,PP*ZOLA.COM ZOLACOM,205.00,gifts,chase travel
04/05/2024,04/05/2024,H-E-B #621,64.62,groceries,chase travel
04/05/2024,04/05/2024,HAMBYS,23.47,spend,chase travel
04/05/2024,04/05/2024,PAYPAL *GRUBHUBFOOD RE,7.96,spend,chase travel
04/06/2024,04/06/2024,NORDSTROM #0732,6.33,spend,chase travel
04/07/2024,04/07/2024,ARAMARK AT AND T CENTER,30.94,spend,chase travel
04/07/2024,04/07/2024,ARAMARK AT AND T CENTER,23.21,spend,chase travel
04/07/2024,04/07/2024,ARAMARK - ATT CENTER - PG,64.93,spend,chase travel
04/07/2024,04/07/2024,FRALOS,69.64,spend,chase travel
04/06/2024,04/06/2024,EXPEDIA 72799480654089,688.91,reimburseable,chase travel
04/06/2024,04/06/2024,SWA*EARLYBRD5264235844900,25.00,reimburseable,southwest
04/06/2024,04/06/2024,SWA*EARLYBRD5264235844899,25.00,reimburseable,southwest
04/06/2024,04/06/2024,SOUTHWES 5262277651492,946.97,reimburseable,southwest
04/07/2024,04/07/2024,Spotify USA,18.39,recurring,chase everyday
04/10/2024,04/10/2024,PLAN FEE - WESTELM.COM,14.82,spend,chase travel
04/10/2024,04/10/2024,STARBUCKS 800-782-7282,10.00,spend,chase travel
03/29/2024,03/29/2024,kidstrong,99.00,recurring,amex
01/03/2024,01/03/2024,AMZN Mktp US,-108.24,spend,chase travel
04/13/2024,04/13/2024,PAYPAL *UBER,55.72,spend,chase travel
04/13/2024,04/13/2024,TST* DOG & PONY GRILL,44.93,spend,chase travel
04/13/2024,04/13/2024,MEGA BAR,34.18,spend,chase travel
04/13/2024,04/13/2024,"SQ *WILA & COMPANY, LLC",34.64,spend,chase travel
04/13/2024,04/13/2024,PAYPAL *VIASATSWAIR TXE-5,8.00,spend,chase travel
04/13/2024,04/13/2024,LS KAPPA TOYS,11.90,spend,chase travel
04/12/2024,04/12/2024,COOL RIVER DAL,16.06,spend,chase travel
04/12/2024,04/12/2024,SOUTHWESTAIR INFLIGHT,7.00,spend,chase travel
04/12/2024,04/12/2024,SAT ADINA'S MARKET,15.22,spend,chase travel
04/12/2024,04/12/2024,TST* PIZZERIA TRE,82.58,spend,chase travel
04/12/2024,04/12/2024,OVERHANG BAR,72.44,spend,chase travel
04/12/2024,04/12/2024,"ANDIAMO  
 Pay over time",388.34,spend,chase travel
04/12/2024,04/12/2024,JIMMY JOHNS - 4090,17.27,spend,chase travel
04/11/2024,04/11/2024,H-E-B #566,34.09,groceries,chase travel
04/11/2024,04/11/2024,PAYPAL *GRUBHUBFOOD PANDA,5.98,spend,chase travel
04/11/2024,04/11/2024,SQ *MERIT LEON SPRINGS,16.43,spend,chase travel
04/11/2024,04/11/2024,EXPEDIA 72799480654089,-334.29,travel,chase travel
04/10/2024,04/10/2024,"BOUTIQUE - THE DIENGER T  
 Pay over time",162.38,spend,chase travel
04/10/2024,04/10/2024,"H-E-B ONLINE #108  
 Pay over time",212.40,groceries,chase travel
04/11/2024,04/11/2024,TRAVLURO HOTEL BOOKING  ,738.00,reimburseable,chase travel
04/10/2024,04/10/2024,BOERNE TACO HOUSE,20.57,spend,chase travel
04/09/2024,04/09/2024,CIRCLE K #2741058,7.68,spend,chase travel
04/11/2024,04/11/2024,US TREAS TAX PYMT ,5771.00,reimburseable,chase travel
04/11/2024,04/11/2024,INTUIT *TURBOTAX  ,233.45,reimburseable,chase travel
04/11/2024,04/11/2024,SERVICE FEE  ,143.69,reimburseable,chase travel
04/14/2024,04/14/2024,COSA - SAT AIRPORT PARKIN,48.00,spend,chase travel
04/14/2024,04/14/2024,CHIPOTLE ONLINE,49.90,spend,chase travel
04/14/2024,04/14/2024,SHIPLEY DO-NUTS - FC4600,9.72,spend,chase travel
04/14/2024,04/14/2024,JACK POTS,13.00,spend,chase travel
04/14/2024,04/14/2024,PAYPAL *UBER,-7.21,spend,chase travel
,,,,,
04/14/2024,04/14/2024,PAYPAL *UBER,42.24,spend,chase travel
04/14/2024,04/14/2024,PAYPAL *UBER,38.54,spend,chase travel
,,,,,
04/14/2024,04/14/2024,BELLAGIO - SNACKS,17.91,spend,chase travel
04/13/2024,04/13/2024,MIRAGE -LOVE CONCESSIO,25.68,spend,chase travel
04/13/2024,04/13/2024,PAYPAL *UBER,23.71,spend,chase travel
04/13/2024,04/13/2024,PAYPAL *UBER,5.00,spend,chase travel
04/13/2024,04/13/2024,PAYPAL *UBER,16.14,spend,chase travel
04/13/2024,04/13/2024,JACK POTS,14.00,spend,chase travel
,,,,,
04/12/2024,04/12/2024,APPLE.COM/BILL,9.99,recurring,chase everyday
04/11/2024,04/11/2024,chase my plan,166.19,spend,chase travel
04/11/2024,04/11/2024,Samsung 5/24,120.00,spend,amazon
04/11/2024,04/11/2024,amazon mac mini 5/12,31.00,spend,amazon
04/15/2024,04/15/2024,PAYPAL *UBER,13.93,spend,chase travel
04/15/2024,04/15/2024,PAYPAL *UBER,5.78,spend,chase travel
04/15/2024,04/15/2024,PAYPAL *UBER,10.25,spend,chase travel
04/15/2024,04/15/2024,AIRBNB HMRTJBN35A  ,3123.10,travel,chase travel
,,,,,chase travel
04/21/2024,04/21/2024,GOOGLE *A Medium Corp,5.40,recurring,chase travel
04/20/2024,04/20/2024,WWW.SWEETGREEN.COM,48.50,spend,chase travel
04/20/2024,04/20/2024,PAYPAL *GRUBHUBFOOD TACOC,4.92,spend,chase travel
04/20/2024,04/20/2024,SQ *BERRY TO BEAN COFFEE,27.60,spend,chase travel
04/19/2024,04/19/2024,SQ *BLITHE CREAMERY,9.12,spend,chase travel
04/18/2024,04/18/2024,CIRCLE K #2741058,75.00,gas,chase travel
04/18/2024,04/18/2024,MCALISTER'S 1386,21.04,spend,chase travel
04/18/2024,04/18/2024,H-E-B #621,90.27,groceries,chase travel
04/17/2024,04/17/2024,LADDERLIFE INSURANCE,72.28,recurring,chase travel
04/17/2024,04/17/2024,GOOGLE *FI NRZ7R3,75.48,recurring,chase travel
04/17/2024,04/17/2024,SMART BARRE LEON SPRING,15.00,spend,chase travel
04/17/2024,04/17/2024,"TARGET 00021873  
 Pay over time",123.50,spend,chase travel
04/16/2024,04/16/2024,CIRCLE K #2741058,9.87,groceries,chase travel
04/16/2024,04/16/2024,SA BOTANICAL GARD,16.48,spend,chase travel
04/16/2024,04/16/2024,AIRBNB HMRTJBN35A,-3123.10,travel,chase travel
04/16/2024,04/16/2024,"H-E-B ONLINE #108  
 Pay over time",227.31,groceries,chase travel
04/16/2024,04/16/2024,"PAYPAL *CURATED.COM  
 Pay over time",377.01,spend,chase travel
04/22/2024,04/22/2024,CHICK-FIL-A #04212,44.69,spend,chase travel
04/22/2024,04/22/2024,BIG CEDAR LODGE,1285.92,travel,chase travel
04/21/2024,04/21/2024,THE RILL,113.64,spend,chase travel
04/21/2024,04/21/2024,AIRBNB * HMC2PHYKKN,3095.15,travel,chase travel
04/20/2024,04/20/2024,TST* JAMBA JUICE - 1113 -,16.14,spend,chase travel
04/19/2024,04/19/2024,CIBOLO BREWERY,8.39,spend,chase travel
04/19/2024,04/19/2024,CIBOLO BREWERY,27.22,spend,chase travel
04/16/2024,04/16/2024,AMZN Mktp US*OM9DG9JI3,32.46,spend,amazon
04/24/2024,04/24/2024,CHUCK E CHEESE 593,29.17,spend,chase travel
04/23/2024,04/23/2024,AIRBNB * HMC2PHYKKN,-99.14,travel,chase travel
04/28/2024,04/28/2024,TST* MING'S THE RIM,85.97,spend,chase travel
04/28/2024,04/28/2024,SQ *UNGWANGWAY,22.21,spend,chase travel
04/28/2024,04/28/2024,LAZ PARKING ECOMMERCE,11.30,spend,chase travel
04/28/2024,04/28/2024,PAYPAL *NETFLIX.COM,24.89,recurring,chase travel
04/27/2024,04/27/2024,PAYPAL *BETTERME F,11.29,recurring,chase travel
04/30/2024,04/30/2024,AIRBNB * HMC2PHYKKN,-2996.01,travel,chase travel
04/29/2024,04/29/2024,GOOGLE *YouTubePremium,24.89,recurring,chase travel
04/29/2024,04/29/2024,H-E-B #793,215.54,groceries,chase travel
04/29/2024,04/29/2024,SA BOTANICAL GARD,95.00,spend,chase travel
04/23/2024,04/23/2024,TST* WONDERSLICE,14.05,spend,chase travel
04/23/2024,04/23/2024,H-E-B ONLINE #108,227.29,groceries,chase travel
04/27/2024,04/27/2024,UNITED 0162383869966  ,635.30,travel,chase travel
04/27/2024,04/27/2024,PAYPAL *GRUBHUBFOOD SUBWA,2.45,spend,chase travel
04/26/2024,04/26/2024,UNITED 0164296110152,13.99,travel,chase travel
04/26/2024,04/26/2024,UNITED 0164296110151,13.99,travel,chase travel
04/26/2024,04/26/2024,UNITED 0164296110149,22.99,travel,chase travel
04/26/2024,04/26/2024,UNITED 0164296110148,22.99,travel,chase travel
04/26/2024,04/26/2024,UNITED 0164296110147,22.99,travel,chase travel
04/26/2024,04/26/2024,PAYPAL *DISNEY PLUS,15.11,recurring,chase travel
04/25/2024,04/25/2024,"SMART BARRE ALAMO HEI  
 Pay over time",189.00,recurring,chase travel
04/25/2024,04/25/2024,USPS PO 4879730229,9.85,spend,chase travel
05/04/2024,05/04/2024,SQ *FAT STACKS STEAK KABO,12.00,spend,
05/04/2024,05/04/2024,BENITEZ FOOD VENDING,4.72,spend,
05/04/2024,05/04/2024,SQ *SARITAS MEXICAN KITCH,17.26,spend,
05/04/2024,05/04/2024,SQ *KETTLE KINGS KETTLE C,21.65,spend,
05/04/2024,05/04/2024,SQ *ALLASIANCONCESSION,12.79,spend,
05/04/2024,05/04/2024,SQ *GRAMMIES CRACKERS,24.00,spend,
05/03/2024,05/03/2024,AMZN Mktp US*GX3F46EJ3,49.77,gifts,
05/02/2024,05/02/2024,EVERLYWELL DIAGNOSTICS,98.00,reimburseable,
05/02/2024,05/02/2024,TST* MEZQUITE,13.31,spend,
05/01/2024,05/01/2024,HIATUS SPA PLUS RETREAT,29.00,spend,
05/01/2024,05/01/2024,GOOGLE *CLOUD vwvVXQ,0.05,spend,
05/01/2024,05/01/2024,GOOGLE *YouTube TV,79.01,recurring,
05/01/2024,05/01/2024,PULLMAN MARKET,40.38,gifts,
05/01/2024,05/01/2024,LAZ PARKING ECOMMERCE,3.56,spend,
05/01/2024,05/01/2024,PULLMAN MARKET,30.31,gifts,
05/01/2024,05/01/2024,PULLMAN MARKET,4.87,spend,
05/01/2024,05/01/2024,"SP BUTCHERBOX  
 Pay over time",169.00,groceries,
04/30/2024,04/30/2024,CIRCLE K #2741084,75.00,gas,
04/30/2024,04/30/2024,TARGET 00021873,4.71,spend,
04/26/2024,04/26/2024,UNITED 0164296110150,22.99,travel,chase travel
04/30/2024,04/30/2024,Airtopia San Antonio,15.46,spend,
04/28/2024,04/28/2024,Hotel Emma Food and Be,10.28,spend,chase travel
04/23/2024,04/23/2024,PULLMAN MARKET,7.68,spend,chase travel
04/28/2024,04/28/2024,GOOGLE *CBS Mobile App,12.98,recurring,chase travel
04/27/2024,04/27/2024,UNITED 0162383869968  ,635.30,travel,chase travel
04/27/2024,04/27/2024,UNITED 0162383869967  ,635.30,travel,chase travel
04/27/2024,04/27/2024,UNITED 0162383869969 ,635.30,travel,chase travel
04/28/2024,04/28/2024,HOTEL EMMA FOOD AND BE,12.28,spend,chase travel
05/06/2024,05/06/2024,GVTC,102.32,recurring,chase travel
05/05/2024,05/05/2024,H-E-B ONLINE #108,227.02,groceries,chase travel
05/05/2024,05/05/2024,HON MACHI JAPANESE & K,71.99,reimburseable,chase travel
05/05/2024,05/05/2024,TRADER JOE S #455,46.23,gifts,chase travel
05/04/2024,05/04/2024,GOOGLE *Ad Hoc Labs,5.40,recurring,chase travel
05/04/2024,05/04/2024,STRIDE EVENTS,134.73,spend,chase travel
05/04/2024,05/04/2024,STARBUCKS STORE 10472,6.28,spend,chase travel
05/03/2024,05/03/2024,CHATGPT SUBSCRIPTION,21.28,recurring,chase travel
04/28/2024,04/28/2024,RAPID EXPRESS CAR WASH -,22.00,recurring,chase travel
05/01/2024,05/01/2024,AMZN Mktp US*519S31WR3,41.12,groceries,chase travel
05/15/2024,05/15/2024,STARBUCKS 800-782-7282,10.00,spend,chase travel
05/14/2024,05/14/2024,PULLMAN MARKET,8.99,spend,chase travel
05/14/2024,05/14/2024,SA001 - MARKET STREET GA,10.00,spend,chase travel
05/13/2024,05/13/2024,BUC-EE'S #44,50.96,spend,chase travel
05/13/2024,05/13/2024,"BIG CEDAR LODGE  
 Pay over time",548.44,travel,chase travel
05/13/2024,05/13/2024,STARBUCKS 800-782-7282,35.00,spend,chase travel
05/13/2024,05/13/2024,HIATUS SPA PLUS RETREAT,89.00,recurring,chase travel
05/13/2024,05/13/2024,LOVE'S #0204 OUTSIDE,51.21,travel,chase travel
05/12/2024,05/12/2024,"BIG CEDAR LODGE REST  
 Pay over time",131.18,spend,chase travel
05/12/2024,05/12/2024,BIG CEDAR LODGE REST,69.62,spend,chase travel
05/12/2024,05/12/2024,BIG CEDAR LODGE REST,29.24,spend,chase travel
05/12/2024,05/12/2024,UNCLE BUCKS AT BIG CEDAR,5.60,spend,chase travel
05/12/2024,05/12/2024,FUN MOUNTAIN,64.00,travel,chase travel
05/14/2024,05/14/2024,DEL MAR WINE AND CIGAR,4.80,spend,chase travel
05/15/2024,05/15/2024,"H-E-B ONLINE #108  
 Pay Over Time eligible",220.58,groceries,chase travel
05/15/2024,05/15/2024,SQ *MERIT SHAVANO PARK,6.52,spend,chase travel
05/15/2024,05/15/2024,H-E-B #621,24.85,groceries,chase travel
05/11/2024,05/11/2024,"ARNIES BARN RESTAURANT  
 Pay over time",130.18,spend,chase travel
05/11/2024,05/11/2024,"BIG CEDAR LODGE REST  
 Pay over time",358.21,travel,chase travel
05/11/2024,05/11/2024,BIG CEDAR LODGE REST,49.18,spend,chase travel
05/11/2024,05/11/2024,"WONDERSOFWILDLIFE/DOGW  
 Pay over time",130.00,travel,chase travel
05/11/2024,05/11/2024,WONDERSOFWILDLIFE/DOGW,46.54,spend,chase travel
05/11/2024,05/11/2024,THE SHOPPE,11.53,spend,chase travel
05/11/2024,05/11/2024,BIG CEDAR LODGE REST,28.61,spend,chase travel
05/11/2024,05/11/2024,LOVE'S #0120 OUTSIDE,49.65,travel,chase travel
